"TOA5","6550","CR6","6550","CR6.Std.06.03","CPU:Lab_atmos_phys.CR6","45515","Thermohygrometer"
"TIMESTAMP","RECORD","TC","RH"
"TS","RN","Deg C","%"
"","","Smp","Smp"
"2021-12-03 09:17:34",256206,21.13,38.84
"2021-12-03 09:17:35",256207,21.13,38.88
"2021-12-03 09:17:36",256208,21.11,38.91
"2021-12-03 09:17:37",256209,21.12,38.91
"2021-12-03 09:17:38",256210,21.13,38.9
"2021-12-03 09:17:39",256211,21.17,38.92
"2021-12-03 09:17:40",256212,21.18,38.91
"2021-12-03 09:17:41",256213,21.17,38.91
"2021-12-03 09:17:42",256214,21.16,38.9
"2021-12-03 09:17:43",256215,21.16,38.91
"2021-12-03 09:17:44",256216,21.15,38.91
"2021-12-03 09:17:45",256217,21.14,38.92
"2021-12-03 09:17:46",256218,21.14,38.94
"2021-12-03 09:17:47",256219,21.16,38.95
"2021-12-03 09:17:48",256220,21.18,38.96
"2021-12-03 09:17:49",256221,21.18,38.96
"2021-12-03 09:17:50",256222,21.17,38.96
"2021-12-03 09:17:51",256223,21.18,38.96
"2021-12-03 09:17:52",256224,21.18,38.97
"2021-12-03 09:17:53",256225,21.16,39.01
"2021-12-03 09:17:54",256226,21.15,39
"2021-12-03 09:17:55",256227,21.15,39
"2021-12-03 09:17:56",256228,21.12,39.03
"2021-12-03 09:17:57",256229,21.18,39.07
"2021-12-03 09:17:58",256230,21.18,39.07
"2021-12-03 09:17:59",256231,21.18,39.07
"2021-12-03 09:18:00",256232,21.17,39.08
"2021-12-03 09:18:01",256233,21.19,39.07
"2021-12-03 09:18:02",256234,21.16,39.05
"2021-12-03 09:18:03",256235,21.17,39.06
"2021-12-03 09:18:04",256236,21.16,39.03
"2021-12-03 09:18:05",256237,21.18,38.97
"2021-12-03 09:18:06",256238,21.18,38.99
"2021-12-03 09:18:07",256239,21.17,38.99
"2021-12-03 09:18:08",256240,21.17,38.96
"2021-12-03 09:18:09",256241,21.13,38.93
"2021-12-03 09:18:10",256242,21.17,38.96
"2021-12-03 09:18:11",256243,21.13,38.91
"2021-12-03 09:18:12",256244,21.16,38.89
"2021-12-03 09:18:13",256245,21.16,38.89
"2021-12-03 09:18:14",256246,21.16,38.91
"2021-12-03 09:18:15",256247,21.17,38.86
"2021-12-03 09:18:16",256248,21.17,38.86
"2021-12-03 09:18:17",256249,21.15,38.85
"2021-12-03 09:18:18",256250,21.12,38.83
"2021-12-03 09:18:19",256251,21.18,38.84
"2021-12-03 09:18:20",256252,21.15,38.81
"2021-12-03 09:18:21",256253,21.15,38.81
"2021-12-03 09:18:22",256254,21.15,38.81
"2021-12-03 09:18:23",256255,21.19,38.83
"2021-12-03 09:18:24",256256,21.19,38.8
"2021-12-03 09:18:25",256257,21.19,38.77
"2021-12-03 09:18:26",256258,21.16,38.76
"2021-12-03 09:18:27",256259,21.17,38.74
"2021-12-03 09:18:28",256260,21.18,38.77
"2021-12-03 09:18:29",256261,21.16,38.75
"2021-12-03 09:18:30",256262,21.14,38.75
"2021-12-03 09:18:31",256263,21.15,38.71
"2021-12-03 09:18:32",256264,21.17,38.72
"2021-12-03 09:18:33",256265,21.17,38.7
"2021-12-03 09:18:34",256266,21.18,38.7
"2021-12-03 09:18:35",256267,21.17,38.72
"2021-12-03 09:18:36",256268,21.17,38.72
"2021-12-03 09:18:37",256269,21.15,38.72
"2021-12-03 09:18:38",256270,21.15,38.71
"2021-12-03 09:18:39",256271,21.16,38.71
"2021-12-03 09:18:40",256272,21.16,38.7
"2021-12-03 09:18:41",256273,21.18,38.71
"2021-12-03 09:18:42",256274,21.19,38.71
"2021-12-03 09:18:43",256275,21.17,38.71
"2021-12-03 09:18:44",256276,21.18,38.71
"2021-12-03 09:18:45",256277,21.2,38.72
"2021-12-03 09:18:46",256278,21.16,38.7
"2021-12-03 09:18:47",256279,21.16,38.7
"2021-12-03 09:18:48",256280,21.18,38.73
"2021-12-03 09:18:49",256281,21.14,38.75
"2021-12-03 09:18:50",256282,21.19,38.73
"2021-12-03 09:18:51",256283,21.19,38.77
"2021-12-03 09:18:52",256284,21.21,38.76
"2021-12-03 09:18:53",256285,21.17,38.77
"2021-12-03 09:18:54",256286,21.22,38.76
"2021-12-03 09:18:55",256287,21.19,38.73
"2021-12-03 09:18:56",256288,21.19,38.75
"2021-12-03 09:18:57",256289,21.2,38.74
"2021-12-03 09:18:58",256290,21.22,38.72
"2021-12-03 09:18:59",256291,21.22,38.74
"2021-12-03 09:19:00",256292,21.18,38.75
"2021-12-03 09:19:01",256293,21.2,38.77
"2021-12-03 09:19:02",256294,21.16,38.74
"2021-12-03 09:19:03",256295,21.22,38.8
"2021-12-03 09:19:04",256296,21.2,38.78
"2021-12-03 09:19:05",256297,21.2,38.78
"2021-12-03 09:19:06",256298,21.21,38.79
"2021-12-03 09:19:07",256299,21.22,38.8
"2021-12-03 09:19:08",256300,21.23,38.8
"2021-12-03 09:19:09",256301,21.22,38.81
"2021-12-03 09:19:10",256302,21.23,38.8
"2021-12-03 09:19:11",256303,21.24,38.76
"2021-12-03 09:19:12",256304,21.23,38.82
"2021-12-03 09:19:13",256305,21.2,38.77
"2021-12-03 09:19:14",256306,21.2,38.73
"2021-12-03 09:19:15",256307,21.23,38.74
"2021-12-03 09:19:16",256308,21.26,38.75
"2021-12-03 09:19:17",256309,21.26,38.76
"2021-12-03 09:19:18",256310,21.25,38.75
"2021-12-03 09:19:19",256311,21.24,38.75
"2021-12-03 09:19:20",256312,21.24,38.75
"2021-12-03 09:19:21",256313,21.25,38.76
"2021-12-03 09:19:22",256314,21.24,38.74
"2021-12-03 09:19:23",256315,21.24,38.71
"2021-12-03 09:19:24",256316,21.24,38.67
"2021-12-03 09:19:25",256317,21.28,38.68
"2021-12-03 09:19:26",256318,21.28,38.66
"2021-12-03 09:19:27",256319,21.28,38.66
"2021-12-03 09:19:28",256320,21.28,38.66
"2021-12-03 09:19:29",256321,21.29,38.67
"2021-12-03 09:19:30",256322,21.27,38.64
"2021-12-03 09:19:31",256323,21.3,38.63
"2021-12-03 09:19:32",256324,21.32,38.64
"2021-12-03 09:19:33",256325,21.32,38.6
"2021-12-03 09:19:34",256326,21.35,38.63
"2021-12-03 09:19:35",256327,21.37,38.66
"2021-12-03 09:19:36",256328,21.37,38.66
"2021-12-03 09:19:37",256329,21.35,38.67
"2021-12-03 09:19:38",256330,21.4,38.67
"2021-12-03 09:19:39",256331,21.38,38.64
"2021-12-03 09:19:40",256332,21.43,38.65
"2021-12-03 09:19:41",256333,21.43,38.65
"2021-12-03 09:19:42",256334,21.42,38.64
"2021-12-03 09:19:43",256335,21.47,38.69
"2021-12-03 09:19:44",256336,21.46,38.66
"2021-12-03 09:19:45",256337,21.47,38.61
"2021-12-03 09:19:46",256338,21.44,38.57
"2021-12-03 09:19:47",256339,21.49,38.56
"2021-12-03 09:19:48",256340,21.47,38.49
"2021-12-03 09:19:49",256341,21.49,38.43
"2021-12-03 09:19:50",256342,21.5,38.38
"2021-12-03 09:19:51",256343,21.54,38.29
"2021-12-03 09:19:52",256344,21.54,38.22
"2021-12-03 09:19:53",256345,21.56,38.17
"2021-12-03 09:19:54",256346,21.56,38.1
"2021-12-03 09:19:55",256347,21.55,38.07
"2021-12-03 09:19:56",256348,21.59,38.07
"2021-12-03 09:19:57",256349,21.59,37.97
"2021-12-03 09:19:58",256350,21.61,37.9
"2021-12-03 09:19:59",256351,21.61,37.85
"2021-12-03 09:20:00",256352,21.64,37.81
