"TOA5","6550","CR6","6550","CR6.Std.06.03","CPU:Lab_atmos_phys.CR6","45515","Sonic_Anemometer"
"TIMESTAMP","RECORD","u","v","w","t"
"TS","RN","m/s","m/s","m/s","C"
"","","Smp","Smp","Smp","Smp"
"2021-12-03 09:15:14.45",5125794,0.058,0.011,0.046,21.68
"2021-12-03 09:15:14.5",5125795,0.053,0.008,0.046,21.68
"2021-12-03 09:15:14.55",5125796,0.055,0.011,0.045,21.67
"2021-12-03 09:15:14.6",5125797,0.055,0.01,0.047,21.63
"2021-12-03 09:15:14.65",5125798,0.053,0.012,0.047,21.63
"2021-12-03 09:15:14.7",5125799,0.05,0.013,0.048,21.68
"2021-12-03 09:15:14.75",5125800,0.053,0.014,0.047,21.65
"2021-12-03 09:15:14.8",5125801,0.053,0.013,0.048,21.63
"2021-12-03 09:15:14.85",5125802,0.053,0.016,0.047,21.65
"2021-12-03 09:15:14.9",5125803,0.055,0.017,0.05,21.68
"2021-12-03 09:15:14.95",5125804,0.056,0.016,0.05,21.65
"2021-12-03 09:15:15",5125805,0.055,0.019,0.051,21.65
"2021-12-03 09:15:15.05",5125806,0.056,0.019,0.05,21.7
"2021-12-03 09:15:15.1",5125807,0.055,0.019,0.049,21.65
"2021-12-03 09:15:15.15",5125808,0.055,0.02,0.05,21.68
"2021-12-03 09:15:15.2",5125809,0.057,0.021,0.051,21.65
"2021-12-03 09:15:15.25",5125810,0.057,0.019,0.05,21.65
"2021-12-03 09:15:15.3",5125811,0.056,0.021,0.052,21.62
"2021-12-03 09:15:15.35",5125812,0.057,0.019,0.051,21.62
"2021-12-03 09:15:15.4",5125813,0.057,0.021,0.052,21.63
"2021-12-03 09:15:15.45",5125814,0.056,0.022,0.053,21.61
"2021-12-03 09:15:15.5",5125815,0.058,0.021,0.052,21.61
"2021-12-03 09:15:15.55",5125816,0.057,0.023,0.054,21.61
"2021-12-03 09:15:15.6",5125817,0.059,0.022,0.053,21.63
"2021-12-03 09:15:15.65",5125818,0.059,0.021,0.052,21.59
"2021-12-03 09:15:15.7",5125819,0.057,0.022,0.053,21.64
"2021-12-03 09:15:15.75",5125820,0.058,0.019,0.052,21.64
"2021-12-03 09:15:15.8",5125821,0.056,0.02,0.054,21.62
"2021-12-03 09:15:15.85",5125822,0.058,0.021,0.054,21.6
"2021-12-03 09:15:15.9",5125823,0.057,0.018,0.054,21.58
"2021-12-03 09:15:15.95",5125824,0.058,0.018,0.053,21.61
"2021-12-03 09:15:16",5125825,0.055,0.015,0.052,21.59
"2021-12-03 09:15:16.05",5125826,0.057,0.015,0.053,21.59
"2021-12-03 09:15:16.1",5125827,0.057,0.012,0.051,21.59
"2021-12-03 09:15:16.15",5125828,0.056,0.014,0.05,21.59
"2021-12-03 09:15:16.2",5125829,0.056,0.014,0.052,21.59
"2021-12-03 09:15:16.25",5125830,0.057,0.013,0.053,21.59
"2021-12-03 09:15:16.3",5125831,0.056,0.012,0.052,21.58
"2021-12-03 09:15:16.35",5125832,0.054,0.009,0.052,21.59
