Fine validità (UTC)	wndDir	wndSpeed										
12/12/2015 23:00:00	269	0.2										
13/12/2015 00:00:00	2	0.1										
13/12/2015 01:00:00	350	0.8										
13/12/2015 02:00:00	358	0.6										
13/12/2015 03:00:00	15	0.3										
13/12/2015 04:00:00	4	0.5										
13/12/2015 05:00:00	10	0.3										
13/12/2015 06:00:00	359	0.2										
13/12/2015 07:00:00	349	0.2										
13/12/2015 08:00:00	322	0.5										
13/12/2015 09:00:00	258	1.1										
13/12/2015 10:00:00	354	1										
13/12/2015 11:00:00	339	0.7										
13/12/2015 12:00:00	346	1.5										
13/12/2015 13:00:00	334	0.8										
13/12/2015 14:00:00	328	0.6										
13/12/2015 15:00:00	354	0.9										
13/12/2015 16:00:00	349	1.2										
13/12/2015 17:00:00	329	0.5										
13/12/2015 18:00:00	345	0.2										
13/12/2015 19:00:00	350	0.6										
13/12/2015 20:00:00	355	0.7										
13/12/2015 21:00:00	341	0.3										
13/12/2015 22:00:00	347	0.5										
13/12/2015 23:00:00	348	1.4										
14/12/2015 00:00:00	10	0.9										
14/12/2015 01:00:00	344	0.5										
14/12/2015 02:00:00	348	0										
14/12/2015 03:00:00	343	0.5										
14/12/2015 04:00:00	357	0.4										
14/12/2015 05:00:00	345	0.4										
14/12/2015 06:00:00	262	1.3										
14/12/2015 07:00:00	222	1.4										
14/12/2015 08:00:00	278	0.9										
14/12/2015 09:00:00	262	2.2										
14/12/2015 10:00:00	263	1.4										
14/12/2015 11:00:00	260	1.8										
14/12/2015 12:00:00	304	1.5										
14/12/2015 13:00:00	255	2.7										
14/12/2015 14:00:00	272	1.8										
14/12/2015 15:00:00	252	2.2										
14/12/2015 16:00:00	267	1.3										
14/12/2015 17:00:00	231	1.6										
14/12/2015 18:00:00	217	1.3										
14/12/2015 19:00:00	210	0.9										
14/12/2015 20:00:00	222	1.6										
14/12/2015 21:00:00	219	2										
14/12/2015 22:00:00	208	1.7										
14/12/2015 23:00:00	209	2.3										
15/12/2015 00:00:00	220	2.3										
15/12/2015 01:00:00	225	2.2										
15/12/2015 02:00:00	223	2.3										
15/12/2015 03:00:00	206	2.3										
15/12/2015 04:00:00	209	2.2										
15/12/2015 05:00:00	221	2.3										
15/12/2015 06:00:00	217	1.8										
15/12/2015 07:00:00	217	1.5										
15/12/2015 08:00:00	240	0.7										
15/12/2015 09:00:00	347	0.6										
15/12/2015 10:00:00	264	1										
15/12/2015 11:00:00	309	0.4										
15/12/2015 12:00:00	321	0.9										
15/12/2015 13:00:00	347	1.3										
15/12/2015 14:00:00	339	1.5										
15/12/2015 15:00:00	348	1.4										
15/12/2015 16:00:00	338	0.5										
15/12/2015 17:00:00	237	0.9										
15/12/2015 18:00:00	226	0.9										
15/12/2015 19:00:00	339	1.1										
15/12/2015 20:00:00	225	0.7										
15/12/2015 21:00:00	343	0.2										
15/12/2015 22:00:00	218	1.5										
15/12/2015 23:00:00	205	0.8										
16/12/2015 00:00:00	227	1.1										
16/12/2015 01:00:00	218	1.9										
16/12/2015 02:00:00	226	1.6										
16/12/2015 03:00:00	217	1.7										
16/12/2015 04:00:00	218	1.1										
16/12/2015 05:00:00	226	2.2										
16/12/2015 06:00:00	215	1.4										
16/12/2015 07:00:00	224	1.9										
16/12/2015 08:00:00	236	1.9										
16/12/2015 09:00:00	249	1.2										
16/12/2015 10:00:00	333	1										
16/12/2015 11:00:00	322	1.3										
16/12/2015 12:00:00	268	1										
16/12/2015 13:00:00	291	0.7										
16/12/2015 14:00:00	265	1										
16/12/2015 15:00:00	240	0.5										
16/12/2015 16:00:00	223	1										
16/12/2015 17:00:00	217	1.1										
16/12/2015 18:00:00	212	0.6										
16/12/2015 19:00:00	179	0.8										
16/12/2015 20:00:00	196	1.9										
16/12/2015 21:00:00	213	2										
16/12/2015 22:00:00	220	2.4										
16/12/2015 23:00:00	218	2.5										
17/12/2015 00:00:00	211	1.6										
17/12/2015 01:00:00	217	2.4										
17/12/2015 02:00:00	211	2.6										
17/12/2015 03:00:00	210	2.7										
17/12/2015 04:00:00	211	2.4										
17/12/2015 05:00:00	206	2.4										
17/12/2015 06:00:00	213	2.8										
17/12/2015 07:00:00	217	2.2										
17/12/2015 08:00:00	218	2.6										
17/12/2015 09:00:00	218	1.1										
17/12/2015 10:00:00	297	1										
17/12/2015 11:00:00	309	0.9										
17/12/2015 12:00:00	316	1										
17/12/2015 13:00:00	258	1.5										
17/12/2015 14:00:00	248	1.2										
17/12/2015 15:00:00	307	0.8										
17/12/2015 16:00:00	12	1										
17/12/2015 17:00:00	164	0.8										
17/12/2015 18:00:00	164	0.6										
17/12/2015 19:00:00	217	1.5										
17/12/2015 20:00:00	211	1.6										
17/12/2015 21:00:00	216	2.1										
17/12/2015 22:00:00	215	2.3										
17/12/2015 23:00:00	219	2.7										
18/12/2015 00:00:00	225	2.7										
18/12/2015 01:00:00	219	2.5										
18/12/2015 02:00:00	222	2.7										
18/12/2015 03:00:00	211	2.7										
18/12/2015 04:00:00	212	2.4										
18/12/2015 05:00:00	209	2.7										
18/12/2015 06:00:00	217	2										
18/12/2015 07:00:00	215	2.5										
18/12/2015 08:00:00	227	1.9										
18/12/2015 09:00:00	245	1.1										
18/12/2015 10:00:00	257	1.9										
18/12/2015 11:00:00	268	1.2										
18/12/2015 12:00:00		0.3										
18/12/2015 13:00:00	346	1.4										
18/12/2015 14:00:00	348	1										
18/12/2015 15:00:00	349	1.4										
18/12/2015 16:00:00	303	0.3										
18/12/2015 17:00:00	197	1										
18/12/2015 18:00:00	192	1										
18/12/2015 19:00:00	208	1.9										
18/12/2015 20:00:00	221	1.2										
18/12/2015 21:00:00	218	0.9										
18/12/2015 22:00:00	213	2.2										
18/12/2015 23:00:00	218	2.1										
19/12/2015 00:00:00	239	1.8										
19/12/2015 01:00:00	231	0.1										
19/12/2015 02:00:00	222	2.1										
19/12/2015 03:00:00	231	1.5										
19/12/2015 04:00:00	219	0.9										
19/12/2015 05:00:00	239	2.4										
19/12/2015 06:00:00	229	1.8										
19/12/2015 07:00:00	216	1.7										
19/12/2015 08:00:00	246	1.5										
19/12/2015 09:00:00	261	1.6										
19/12/2015 10:00:00	275	1.6										
19/12/2015 11:00:00	251	2.1										
19/12/2015 12:00:00	352	1										
19/12/2015 13:00:00	12	0.7										
19/12/2015 14:00:00	299	0.8										
19/12/2015 15:00:00	336	0.9										
19/12/2015 16:00:00	294	0.5										
19/12/2015 17:00:00	190	1.4										
19/12/2015 18:00:00		0.1										
19/12/2015 19:00:00	190	2.1										
19/12/2015 20:00:00	222	2.2										
19/12/2015 21:00:00	214	2.7										
19/12/2015 22:00:00	224	2.1										
19/12/2015 23:00:00	215	2.4										
